trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9996320528745867}",25,0,-182.32564749748025,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9992639703142518}",35,0,-319.18685347525445,"{0: 17, 1: 2, 2: 9, 3: 2, 4: 5}",0
3,False,"{'a': 0.5, 'e': 0.9988957522192563}",25,0,-162.13438104417875,"{0: 15, 1: 2, 2: 3, 3: 3, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9985273984897507}",25,0,-114.2383958253781,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9981589090257753}",20,0,-72.86971195988248,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9977902837272596}",25,17,-11.861618455601196,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.9974215224940227}",25,0,-148.80139939982027,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9970526252257726}",20,0,-122.59756897945624,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9966835918221066}",35,0,-251.6328222542161,"{0: 18, 1: 3, 2: 9, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9963144221825103}",20,0,-78.93623017373693,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9959451162063585}",25,0,-78.4775299613067,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.9955756737929139}",20,0,-141.50106278605654,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9952060948413279}",20,0,-82.37261700405466,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
