trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-22.114957344658816,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-54.95809365154267,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,6,-67.5748321627212,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.06220740617773,"{0: 10, 1: 1, 2: 9, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-91.07163491147234,"{0: 16, 1: 6, 2: 8, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-70.31869346648072,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-138.13976344212182,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.78225874113254,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-42.907108577739294,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-48.86366210194429,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-125.56855973853644,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-60.04606533072353,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.7757195134046,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",1
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-183.99543882872857,"{0: 19, 1: 2, 2: 4, 3: 2, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-158.44595665595511,"{0: 17, 1: 2, 2: 7, 3: 3, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.91125412747826,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,12,-8.226560214649748,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-89.08660552313012,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-166.7543105029014,"{0: 18, 1: 3, 2: 4, 3: 3, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-89.68205424617767,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-65.6918132060491,"{0: 22, 1: 4, 2: 3, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-283.4401714527653,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 5}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-37.520650265715744,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-153.55916466978303,"{0: 7, 1: 1, 2: 10, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-119.44451779848,"{0: 9, 1: 5, 2: 3, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-102.91618461923822,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-145.0088466240038,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-223.58658160133137,"{0: 12, 1: 5, 2: 2, 3: 2, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-101.53600399709615,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-165.7632601801627,"{0: 19, 1: 2, 2: 4, 3: 3, 4: 2}",0
